C0,C1,C2,C3,C4,C5,C6,C7,C8
Anúncio novo,Casa,              Exclusivo,Rua Madre Leonie,"Jardim Social, Curitiba",            750 m²,            4 dorms,Aluguel: R$ 15.000,Total: R$ 16.883
vazio,Apartamento,vazio,Rua Ayrton Turra,"Cajuru, Curitiba",            42 m²,            2 dorms,Aluguel: R$ 1.100,Total: R$ 1.431
vazio,Studio e kitnet,              Originals,Rua Doutor Reynaldo Machado,"Prado Velho, Curitiba",            18 m²,            1 dorms,Aluguel: R$ 1.275,Total: R$ 1.583
vazio,Casa,              Exclusivo,Rua João Batista Trentin,"Bacacheri, Curitiba",            80 m²,            2 dorms,Aluguel: R$ 1.350,Total: R$ 1.418
vazio,Studio e kitnet,              Exclusivo,Rua Wellington de Oliveira Vianna,"Centro Cívico , Curitiba",            38 m²,            1 dorms,Aluguel: R$ 1.475,Total: R$ 1.998
vazio,Studio e kitnet,              Exclusivo,Rua Gustavo Rattman,"Bacacheri, Curitiba",            60 m²,            1 dorms,Aluguel: R$ 935,Total: R$ 2.019
vazio,Studio e kitnet,              Exclusivo,Rua Pastor Antônio Cardona de Aguiar,"Novo Mundo, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 850,Total: R$ 881
vazio,Apartamento,              Originals,Rua Xv de Novembro,"Alto da Rua XV, Curitiba",            38 m²,            1 dorms,Aluguel: R$ 2.300,Total: R$ 2.943
vazio,Apartamento,              Exclusivo,Rua Peru,"Bacacheri, Curitiba",            120 m²,            2 dorms,Aluguel: R$ 3.400,Total: R$ 4.905
vazio,Apartamento,              Originals,Rua Recife,"Cabral, Curitiba",            392 m²,            4 dorms,Aluguel: R$ 4.500,Total: R$ 10.093
vazio,Apartamento,              Exclusivo,Avenida República Argentina,"Portão , Curitiba",            62 m²,            2 dorms,Aluguel: R$ 2.800,Total: R$ 3.523
vazio,Apartamento,vazio,Rua Doutor Pedrosa,"Centro, Curitiba",            70 m²,            2 dorms,Aluguel: R$ 1.743,Total: R$ 2.474
vazio,Apartamento,              Exclusivo,Rua Nunes Machado,"Centro, Curitiba",            76 m²,            2 dorms,Aluguel: R$ 1.152,Total: R$ 3.819
vazio,Apartamento,              Originals,Rua Governador Agamenon Magalhães,"Cristo Rei , Curitiba",            36 m²,            1 dorms,Aluguel: R$ 1.360,Total: R$ 1.853
vazio,Apartamento,              Exclusivo,Rua Alferes Ângelo Sampaio,"Bigorrilho, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 1.460,Total: R$ 1.564
vazio,Apartamento,vazio,Rua Xxv de Dezembro,"Cidade Industrial, Curitiba",            60 m²,            2 dorms,Aluguel: R$ 790,Total: R$ 819
vazio,Apartamento,              Exclusivo,Alameda Doutor Carlos de Carvalho,"Centro, Curitiba",            120 m²,            3 dorms,Aluguel: R$ 1.317,Total: R$ 2.526
vazio,Casa,vazio,Rua João Sikora,"Umbará, Curitiba",            50 m²,            1 dorms,Aluguel: R$ 680,Total: R$ 707
vazio,Apartamento,              Exclusivo,Rua Júlio Graf,"Vista Alegre, Curitiba",            220 m²,            2 dorms,Aluguel: R$ 1.700,Total: R$ 2.762
vazio,Apartamento,              Exclusivo,Rua Mateus Leme,"Centro Cívico , Curitiba",            85 m²,            1 dorms,Aluguel: R$ 1.200,Total: R$ 1.669
vazio,Casa,              Exclusivo,Rua Professor Omar Gonçalves da Motta,"Boa vista, Curitiba",            145 m²,            3 dorms,Aluguel: R$ 3.590,Total: R$ 3.782
vazio,Apartamento,              Exclusivo,Rua Pará,"Portão , Curitiba",            101 m²,            3 dorms,Aluguel: R$ 3.360,Total: R$ 3.961
vazio,Casa,              Exclusivo,Rua Doutor Estevam Ribeiro de Souza Netto,"Cajuru, Curitiba",            30 m²,            1 dorms,Aluguel: R$ 590,Total: R$ 614
vazio,Apartamento,              Exclusivo,Rua Padre Anchieta,"Bigorrilho, Curitiba",            45 m²,            1 dorms,Aluguel: R$ 1.420,Total: R$ 2.134
vazio,Apartamento,vazio,Praça General Osório,"Centro, Curitiba",            132 m²,            3 dorms,Aluguel: R$ 1.800,Total: R$ 3.111
Anúncio novo,Apartamento,vazio,Rua da Constituicão,"Pinheirinho, Curitiba",            45 m²,            1 dorms,Aluguel: R$ 1.200,Total: R$ 1.639
Anúncio novo,Studio e kitnet,vazio,Rua Desembargador Motta,"Bigorrilho, Curitiba",            35 m²,            1 dorms,Aluguel: R$ 1.000,Total: R$ 1.347
vazio,Apartamento,              Exclusivo,Br-116,"Bairro Alto, Curitiba",            50 m²,            2 dorms,Aluguel: R$ 1.530,Total: R$ 2.025
vazio,Apartamento,              Exclusivo,Travessa Nestor de Castro,"Centro, Curitiba",            50 m²,            1 dorms,Aluguel: R$ 1.100,Total: R$ 1.578
vazio,Studio e kitnet,vazio,Rua Martim Afonso,"Mercês, Curitiba",            38 m²,            1 dorms,Aluguel: R$ 1.050,Total: R$ 1.356
vazio,Casa,              Exclusivo,Rua Miguel Caluf,"Cajuru, Curitiba",            70 m²,            2 dorms,Aluguel: R$ 1.250,Total: R$ 1.301
Anúncio novo,Apartamento,              Exclusivo,Rua Domingas Nicco,"Mossunguê , Curitiba",            90 m²,            2 dorms,Aluguel: R$ 2.900,Total: R$ 3.722
vazio,Studio e kitnet,              Originals,Rua Doutor Reynaldo Machado,"Prado Velho, Curitiba",            17 m²,            1 dorms,Aluguel: R$ 1.300,Total: R$ 1.599
vazio,Apartamento,              Exclusivo,Rua João Bonat,"Novo Mundo, Curitiba",            57 m²,            2 dorms,Aluguel: R$ 1.023,Total: R$ 1.435
vazio,Apartamento,              Exclusivo,Rua Luiz Ronaldo Canalli,"Campo Comprido , Curitiba",            55 m²,            3 dorms,Aluguel: R$ 1.360,Total: R$ 1.907
vazio,Apartamento,vazio,Avenida Presidente Affonso Camargo,"Cristo Rei , Curitiba",            100 m²,            3 dorms,Aluguel: R$ 1.460,Total: R$ 2.275
vazio,Apartamento,              Originals,Rua Francisco Derosso,"Xaxim, Curitiba",            60 m²,            2 dorms,Aluguel: R$ 1.617,Total: R$ 2.134
vazio,Apartamento,              Exclusivo,Rua Doutor José Palú,"Novo Mundo, Curitiba",            84 m²,            3 dorms,Aluguel: R$ 1.500,Total: R$ 2.055
vazio,Apartamento,              Exclusivo,Rua Desembargador Motta,"Água Verde, Curitiba",            52 m²,            2 dorms,Aluguel: R$ 1.580,Total: R$ 1.972
Anúncio novo,Apartamento,              Exclusivo,Avenida Sete de Setembro,"Rebouças , Curitiba",            34 m²,            1 dorms,Aluguel: R$ 859,Total: R$ 1.281
vazio,Studio e kitnet,              Originals,Rua Doutor Reynaldo Machado,"Prado Velho, Curitiba",            18 m²,            1 dorms,Aluguel: R$ 1.280,Total: R$ 1.558
vazio,Apartamento,              Exclusivo,Rua Alberto Otto,"Santa Cândida, Curitiba",            50 m²,            2 dorms,Aluguel: R$ 680,Total: R$ 979
vazio,Casa,              Exclusivo,Rua Inácio Lustosa,"São Francisco, Curitiba",            450 m²,            5 dorms,Aluguel: R$ 3.500,Total: R$ 3.863
Anúncio novo,Apartamento,vazio,Rua Sebastião Malucelli,"Novo Mundo, Curitiba",            40 m²,            3 dorms,Aluguel: R$ 900,Total: R$ 1.312
vazio,Apartamento,vazio,Avenida Silva Jardim,"Água Verde, Curitiba",            134 m²,            3 dorms,Aluguel: R$ 1.650,Total: R$ 2.167
vazio,Apartamento,              Exclusivo,Rua Thereza Lopes Skroski,"Santa Cândida, Curitiba",            58 m²,            2 dorms,Aluguel: R$ 600,Total: R$ 922
vazio,Apartamento,vazio,Rua Engenheiro Niepce da Silva,"Portão , Curitiba",            79 m²,            2 dorms,Aluguel: R$ 1.615,Total: R$ 2.223
vazio,Studio e kitnet,vazio,Rua João Domachoski,"Mossunguê , Curitiba",            30 m²,            1 dorms,Aluguel: R$ 1.460,Total: R$ 1.797
vazio,Casa,vazio,Rua Tunísia,"Cajuru, Curitiba",            74 m²,            3 dorms,Aluguel: R$ 1.308,Total: R$ 1.361
vazio,Apartamento,              Exclusivo,Rua Equador,"Bacacheri, Curitiba",            94 m²,            3 dorms,Aluguel: R$ 2.800,Total: R$ 3.401
vazio,Casa,              Exclusivo,Rua Professor Zildo Manoel da Cruz,"Portão , Curitiba",            400 m²,            5 dorms,Aluguel: R$ 10.000,Total: R$ 10.740
vazio,Apartamento,              Exclusivo,Rua Jair Coelho,"Cidade Industrial, Curitiba",            49 m²,            2 dorms,Aluguel: R$ 950,Total: R$ 1.313
Anúncio novo,Studio e kitnet,              Exclusivo,Rua Pedro Ivo,"Centro, Curitiba",            35 m²,            1 dorms,Aluguel: R$ 1.200,Total: R$ 1.590
vazio,Apartamento,              Exclusivo,Rua Professor Algacyr Munhoz Mader,"Cidade Industrial de Curitiba, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 510,Total: R$ 875
vazio,Apartamento,              Exclusivo,Rua Coronel Domingos Theodorico de Freitas,"Sítio Cercado, Curitiba",            34 m²,            2 dorms,Aluguel: R$ 1.200,Total: R$ 1.504
vazio,Apartamento,vazio,Rua João Nicoletti Daros,"Xaxim, Curitiba",            30 m²,            1 dorms,Aluguel: R$ 630,Total: R$ 716
vazio,Apartamento,vazio,Rua Estados Unidos,"Bacacheri, Curitiba",            28 m²,            1 dorms,Aluguel: R$ 1.350,Total: R$ 1.653
vazio,Apartamento,              Exclusivo,Rua Luiz Barreto Murat,"Bairro Alto, Curitiba",            35 m²,            1 dorms,Aluguel: R$ 1.123,Total: R$ 1.303
vazio,Studio e kitnet,              Exclusivo,Rua Pedro Ivo,"Centro, Curitiba",            35 m²,            1 dorms,Aluguel: R$ 1.596,Total: R$ 1.992
vazio,Apartamento,vazio,Rua Quintino Bocaiúva,"Cabral, Curitiba",            120 m²,            3 dorms,Aluguel: R$ 2.600,Total: R$ 3.840
vazio,Apartamento,              Originals,Rua Padre Agostinho,"Bigorrilho, Curitiba",            95 m²,            3 dorms,Aluguel: R$ 3.500,Total: R$ 4.275
Anúncio novo,Apartamento,              Exclusivo,Rua Howell Lewis Fry,"Cachoeira, Curitiba",            47 m²,            2 dorms,Aluguel: R$ 525,Total: R$ 861
vazio,Apartamento,              Exclusivo,Rua Rio Japurá,"Bairro Alto, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 676,Total: R$ 1.005
vazio,Studio e kitnet,vazio,vazio,"Rua Carlos Klemtz, 69 - Fazendinha, Curitiba - Pr, Brasil",            35 m²,            1 dorms,Aluguel: R$ 790,Total: R$ 1.119
vazio,vazio,vazio,Estrada Guilherme Weigert,"Novo Mundo, Curitiba",vazio,vazio,vazio,vazio
vazio,Apartamento,              Originals,vazio,"Santa Cândida, Curitiba",            58 m²,            3 dorms,Aluguel: R$ 1.150,Total: R$ 1.515
vazio,Apartamento,vazio,Rua Urbâno Lopes,"Cristo Rei , Curitiba",            240 m²,            4 dorms,Aluguel: R$ 4.220,Total: R$ 5.731
vazio,Casa em Condomínio,vazio,Rua João Guariza,"São Lourenço, Curitiba",            280 m²,            4 dorms,Aluguel: R$ 4.650,Total: R$ 4.980
vazio,Apartamento,              Exclusivo,Rua Pedro Gusso,"Capão Raso, Curitiba",            50 m²,            3 dorms,Aluguel: R$ 1.106,Total: R$ 1.596
vazio,Apartamento,              Exclusivo,Rua Nicanor do Rosário,"Pinheirinho, Curitiba",            48 m²,            3 dorms,Aluguel: R$ 950,Total: R$ 984
vazio,Casa,vazio,Rua Deocleciano de Paula Xavier,"Pilarzinho, Curitiba",            148 m²,            3 dorms,Aluguel: R$ 3.300,Total: R$ 3.554
Anúncio novo,Apartamento,vazio,Rua Doutor Luiz Losso Filho,"Novo Mundo, Curitiba",            40 m²,            1 dorms,Aluguel: R$ 850,Total: R$ 905
vazio,Apartamento,              Exclusivo,Avenida Presidente Getúlio Vargas,"Água Verde, Curitiba",            68 m²,            2 dorms,Aluguel: R$ 1.585,Total: R$ 2.052
vazio,Studio e kitnet,vazio,Rua Raymundo Nina Rodrigues,"Cajuru, Curitiba",            20 m²,            1 dorms,Aluguel: R$ 640,Total: R$ 664
vazio,Apartamento,              Originals,Rua Riachuelo,"Centro, Curitiba",            17 m²,            1 dorms,Aluguel: R$ 1.380,Total: R$ 1.905
vazio,Apartamento,vazio,Estrada Delegado Bruno de Almeida,"Tatuquara, Curitiba",            44 m²,            2 dorms,Aluguel: R$ 1.090,Total: R$ 1.433
Anúncio novo,Apartamento,              Exclusivo,Rua Reinaldo Stocco,"Pinheirinho, Curitiba",            53 m²,            2 dorms,Aluguel: R$ 2.000,Total: R$ 2.411
vazio,Studio e kitnet,              Originals,Avenida Visconde de Guarapuava,"Centro, Curitiba",            33 m²,            1 dorms,Aluguel: R$ 1.670,Total: R$ 2.091
Anúncio novo,Apartamento,vazio,Rua Desembargador Vieira Cavalcanti,"São Francisco, Curitiba",            55 m²,            3 dorms,Aluguel: R$ 1.100,Total: R$ 1.501
vazio,Apartamento,              Exclusivo,Rua Mario Zanlorenzi,"Campo Comprido , Curitiba",            48 m²,            2 dorms,Aluguel: R$ 970,Total: R$ 1.276
vazio,Casa,              Exclusivo,Rua Mandirituba,"Pinheirinho, Curitiba",            120 m²,            3 dorms,Aluguel: R$ 2.900,Total: R$ 3.146
vazio,Apartamento,              Exclusivo,Rua Euclides da Cunha,"Bigorrilho, Curitiba",            31 m²,            1 dorms,Aluguel: R$ 724,Total: R$ 1.068
vazio,Apartamento,vazio,Avenida Sete de Setembro,"Rebouças , Curitiba",            50 m²,            2 dorms,Aluguel: R$ 1.238,Total: R$ 1.750
vazio,Apartamento,vazio,Rua Marechal Deodoro,"Centro, Curitiba",            70 m²,            2 dorms,Aluguel: R$ 952,Total: R$ 1.665
vazio,Apartamento,vazio,Rua João Domachoski,"Mossunguê , Curitiba",            47 m²,            2 dorms,Aluguel: R$ 2.175,Total: R$ 2.796
Anúncio novo,Apartamento,vazio,Avenida Sete de Setembro,"Rebouças , Curitiba",            50 m²,            2 dorms,Aluguel: R$ 966,Total: R$ 1.465
Anúncio novo,Apartamento,vazio,Travessa Nestor de Castro,"Centro, Curitiba",            80 m²,            1 dorms,Aluguel: R$ 1.200,Total: R$ 1.774
vazio,Studio e kitnet,              Originals,Rua Professor Fábio de Souza,"Seminário , Curitiba",            27 m²,            1 dorms,Aluguel: R$ 1.056,Total: R$ 1.544
vazio,Apartamento,vazio,Rua Alberto Otto,"Santa Cândida, Curitiba",            55 m²,            2 dorms,Aluguel: R$ 630,Total: R$ 956
Anúncio novo,Apartamento,              Exclusivo,Rua Birmânia,"Cajuru, Curitiba",            45 m²,            2 dorms,Aluguel: R$ 1.100,Total: R$ 1.428
vazio,Studio e kitnet,vazio,Rua Mauá,"Alto da Glória , Curitiba",            40 m²,            1 dorms,Aluguel: R$ 890,Total: R$ 1.242
vazio,Apartamento,              Exclusivo,Rua Juvenal Carvalho,"Campo Comprido , Curitiba",            45 m²,            2 dorms,Aluguel: R$ 920,Total: R$ 1.364
vazio,Apartamento,              Exclusivo,Rua Mário Chalbaud Biscaia,"Novo Mundo, Curitiba",            66 m²,            3 dorms,Aluguel: R$ 1.040,Total: R$ 1.574
vazio,Apartamento,vazio,Rua Izabel Gomes Posselt,"Alto Boqueirão, Curitiba",            51 m²,            2 dorms,Aluguel: R$ 800,Total: R$ 1.079
vazio,Studio e kitnet,              Exclusivo,Rua Cruz Machado,"Centro, Curitiba",            49 m²,            1 dorms,Aluguel: R$ 600,Total: R$ 1.027
vazio,Apartamento,              Originals,Rua Felisbino Passos,"Tingui, Curitiba",            55 m²,            2 dorms,Aluguel: R$ 1.747,Total: R$ 2.133
vazio,Casa,vazio,Rua Padre Francisco João Azevedo,"Jardim Botânico, Curitiba",            264 m²,            4 dorms,Aluguel: R$ 3.455,Total: R$ 3.771
vazio,Studio e kitnet,              Exclusivo,Rua Doutor Reynaldo Machado,"Prado Velho, Curitiba",            19 m²,            1 dorms,Aluguel: R$ 1.290,Total: R$ 1.567
vazio,Apartamento,vazio,Rua Guilherme Mazeto,"Pinheirinho, Curitiba",            44 m²,            2 dorms,Aluguel: R$ 927,Total: R$ 1.164
Anúncio novo,Apartamento,              Exclusivo,Rua Reinaldo Stocco,"Pinheirinho, Curitiba",            50 m²,            2 dorms,Aluguel: R$ 1.400,Total: R$ 1.818
vazio,Apartamento,vazio,Rua Mateus Leme,"São Francisco, Curitiba",            57 m²,            2 dorms,Aluguel: R$ 1.136,Total: R$ 1.465
Anúncio novo,Apartamento,              Exclusivo,Rua Guararapes,"Vila Izabel , Curitiba",            40 m²,            1 dorms,Aluguel: R$ 918,Total: R$ 1.411
vazio,Casa,              Exclusivo,Rua São Francisco Xavier,"Pilarzinho, Curitiba",            90 m²,            3 dorms,Aluguel: R$ 1.000,Total: R$ 1.066
vazio,Apartamento,              Exclusivo,Rua Mateus Leme,"São Francisco, Curitiba",            67 m²,            3 dorms,Aluguel: R$ 1.261,Total: R$ 1.557
Anúncio novo,Casa,              Exclusivo,Rua Pinheiro Guimarães,"Portão , Curitiba",            145 m²,            3 dorms,Aluguel: R$ 3.200,Total: R$ 3.472
Anúncio novo,Apartamento,vazio,Rua Doutor Luiz Losso Filho,"Novo Mundo, Curitiba",            138 m²,            3 dorms,Aluguel: R$ 2.200,Total: R$ 2.430
Anúncio novo,Studio e kitnet,vazio,Rua Nicolau Maeder,"Alto da Glória , Curitiba",            25 m²,            1 dorms,Aluguel: R$ 1.800,Total: R$ 2.574
Anúncio novo,Apartamento,              Originals,Rua José Clementino Bettega,"Capão Raso, Curitiba",            58 m²,            2 dorms,Aluguel: R$ 2.200,Total: R$ 2.816
Anúncio novo,Apartamento,              Exclusivo,Rua José Breda Sobrinho,"Pinheirinho, Curitiba",            49 m²,            2 dorms,Aluguel: R$ 1.300,Total: R$ 1.677
Anúncio novo,Casa,vazio,Rua Alexandre Dalcuch,"Bacacheri, Curitiba",            180 m²,            4 dorms,Aluguel: R$ 5.500,Total: R$ 5.787
Anúncio novo,Casa em Condomínio,vazio,Rua Conde São João das Duas Barras,"Boqueirão, Curitiba",            100 m²,            4 dorms,Aluguel: R$ 3.000,Total: R$ 3.164
Anúncio novo,Casa,vazio,Rua Município de Enéas Marquês,"Fazendinha, Curitiba",            150 m²,            3 dorms,Aluguel: R$ 1.450,Total: R$ 1.509
